"","words","emotion","value"
"222","abstraction","AMUSED",0.252855072
"223","abstruse","HAPPY",0.513133261
"224","absurd","ANGRY",0.201682489
"225","absurdity","INSPIRED",0.244908534
"226","absurdly","HAPPY",0.669417549
"227","abuja","ANGRY",0.430821518
"228","abundance","INSPIRED",0.257587641
"229","abundant","ANNOYED",0.204643833
"230","abundantly","AFRAID",0.469646388
"231","abuse","ANGRY",0.284559481
"232","abuse","ANGRY",0.254600016
"233","abused","ANGRY",0.268940235
"234","abuser","ANGRY",0.324229296
"235","abusive","ANGRY",0.276445392
"236","abusively","ANGRY",0.502781416
"237","abut","HAPPY",0.304574434
"238","abuzz","ANNOYED",0.202752112
"239","aby","HAPPY",0.584598698
"240","abysmal","AMUSED",0.564321734
"241","abysmally","AMUSED",0.801894746
"242","abyss","AFRAID",0.294880853
"243","ac","HAPPY",0.368892461
"244","acacia","HAPPY",0.604079628
"245","academe","INSPIRED",0.256355722
"246","academia","INSPIRED",0.367766547
"247","academic","INSPIRED",0.198643875
"248","academic","INSPIRED",0.273780411
"249","academically","INSPIRED",0.353488858
"250","academician","DONT_CARE",0.193001947
"251","academy","HAPPY",0.172894779
"252","acapulco","HAPPY",0.316441608
"253","accede","ANGRY",0.21401899
"254","accelerate","AFRAID",0.184337181
"255","accelerated","INSPIRED",0.216239441
"256","acceleration","AFRAID",0.226235006
"257","accelerator","INSPIRED",0.478667763
"258","accelerometer","ANNOYED",0.367851028
"259","accent","DONT_CARE",0.17594245
"260","accent","DONT_CARE",0.395938753
"261","accented","DONT_CARE",0.47037174
"262","accentuate","AMUSED",0.389483972
"263","accept","ANNOYED",0.178404293
"264","acceptability","ANNOYED",0.246778021
"265","acceptable","AMUSED",0.162196051
"266","acceptably","ANGRY",0.664467192
"267","acceptance","ANNOYED",0.193092453
"268","accepted","INSPIRED",0.148084818
"269","accepting","AFRAID",0.248393241
"270","acceptor","HAPPY",0.415101809
"271","access","INSPIRED",0.147965743
"272","access","INSPIRED",0.149590578
"273","accessibility","INSPIRED",0.300611714
"274","accessible","INSPIRED",0.21552201
"275","accession","HAPPY",0.248785698
"276","accessory","DONT_CARE",0.263422367
"277","accessory","AMUSED",0.248090587
"278","accident","SAD",0.41097964
"279","accident-prone","ANNOYED",0.606083993
"280","accidental","ANNOYED",0.178344071
"281","accidentally","AMUSED",0.31319856
"282","acclaim","SAD",0.226385441
"283","acclaim","SAD",0.229048671
"284","acclamation","DONT_CARE",0.552703111
